0,1,2
18,20,22
20,22,22
22,22,20
22,20,23
20,23,23
23,23,22
23,22,15
22,15,19
15,19,17
19,17,20
17,20,20
20,20,19
20,19,22
19,22,25
22,25,23
25,23,26
23,26,25
26,25,26
25,26,23
26,23,23
23,23,22
23,22,20
22,20,21
20,21,22
21,22,20
22,20,23
20,23,23
23,23,22
23,22,22
22,22,22
22,22,22
22,22,23
22,23,22
23,22,21
22,21,21
21,21,21
21,21,20
21,20,21
20,21,21
21,21,23
21,23,25
23,25,23
25,23,24
23,24,24
24,24,23
24,23,24
23,24,24
24,24,23
24,23,16
23,16,24
16,24,25
24,25,24
25,24,25
24,25,25
25,25,25
25,25,25
25,25,25
25,25,24
25,24,24
24,24,21
24,21,23
21,23,24
23,24,22
24,22,23
22,23,24
23,24,24
24,24,24
24,24,23
24,23,23
23,23,23
23,23,23
23,23,24
23,24,25
24,25,24
25,24,23
24,23,23
23,23,23
23,23,23
23,23,22
23,22,21
22,21,22
21,22,23
22,23,23
23,23,22
23,22,22
22,22,22
22,22,23
22,23,22
23,22,22
22,22,22
22,22,23
22,23,23
23,23,23
23,23,23
23,23,23
23,23,23
23,23,22
23,22,22
22,22,23
22,23,24
23,24,24
24,24,23
24,23,23
23,23,22
23,22,21
22,21,21
21,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,23
22,23,22
23,22,22
22,22,22
22,22,22
22,22,22
22,22,23
22,23,22
23,22,22
22,22,21
22,21,21
21,21,22
21,22,21
22,21,22
21,22,20
22,20,21
20,21,21
21,21,21
21,21,19
21,19,20
19,20,21
20,21,23
21,23,23
23,23,23
23,23,22
23,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,22
21,22,21
22,21,22
21,22,21
22,21,22
21,22,21
22,21,21
21,21,22
21,22,21
22,21,20
21,20,21
20,21,20
21,20,21
20,21,21
21,21,22
21,22,22
22,22,21
22,21,19
21,19,20
19,20,20
20,20,21
20,21,21
21,21,20
21,20,20
20,20,22
20,22,21
22,21,22
21,22,21
22,21,21
21,21,21
21,21,22
21,22,21
22,21,20
21,20,18
20,18,18
18,18,21
18,21,21
21,21,21
21,21,20
21,20,21
20,21,22
21,22,22
22,22,22
22,22,21
22,21,20
21,20,19
20,19,21
19,21,20
21,20,21
20,21,22
21,22,20
22,20,19
20,19,20
19,20,21
20,21,21
21,21,19
21,19,18
19,18,17
18,17,16
17,16,17
16,17,17
17,17,18
17,18,15
18,15,18
15,18,18
18,18,18
18,18,16
18,16,15
16,15,16
15,16,17
16,17,17
17,17,16
17,16,15
16,15,15
15,15,14
15,14,15
14,15,15
15,15,17
15,17,17
17,17,18
17,18,17
18,17,18
17,18,20
18,20,21
20,21,18
21,18,15
18,15,14
15,14,17
14,17,17
17,17,16
17,16,18
16,18,16
18,16,15
16,15,15
15,15,16
15,16,16
16,16,16
16,16,14
16,14,14
14,14,16
14,16,18
16,18,17
18,17,17
17,17,20
17,20,20
20,20,17
20,17,18
17,18,15
18,15,16
15,16,14
16,14,12
14,12,12
12,12,12
12,12,13
12,13,14
13,14,17
14,17,15
17,15,13
15,13,14
13,14,14
14,14,15
14,15,15
15,15,14
15,14,12
14,12,8
12,8,10
8,10,13
10,13,14
13,14,15
14,15,15
15,15,14
15,14,14
14,14,14
14,14,15
14,15,15
15,15,16
15,16,14
16,14,11
14,11,11
11,11,14
11,14,15
14,15,14
15,14,14
14,14,10
14,10,12
10,12,17
12,17,17
17,17,17
17,17,17
17,17,16
17,16,15
16,15,15
15,15,16
15,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,17
16,17,16
17,16,16
16,16,15
16,15,12
15,12,12
12,12,14
12,14,16
14,16,17
16,17,16
17,16,15
16,15,14
15,14,15
14,15,16
15,16,15
16,15,16
15,16,16
16,16,16
16,16,18
16,18,14
18,14,15
14,15,13
15,13,15
13,15,16
15,16,18
16,18,18
18,18,16
18,16,14
16,14,14
14,14,18
14,18,18
18,18,19
18,19,21
19,21,19
21,19,22
19,22,20
22,20,20
20,20,20
20,20,19
20,19,18
19,18,19
18,19,19
19,19,19
19,19,18
19,18,16
18,16,16
16,16,19
16,19,21
19,21,22
21,22,22
22,22,22
22,22,22
22,22,23
22,23,22
23,22,24
22,24,25
24,25,22
25,22,19
22,19,18
19,18,23
18,23,21
23,21,23
21,23,18
23,18,22
18,22,22
22,22,24
22,24,24
24,24,25
24,25,23
25,23,23
23,23,20
23,20,20
20,20,24
20,24,20
24,20,21
20,21,23
21,23,24
23,24,23
24,23,20
23,20,24
20,24,22
24,22,22
22,22,25
22,25,24
25,24,24
24,24,24
24,24,23
24,23,24
23,24,24
24,24,21
24,21,24
21,24,24
24,24,25
24,25,24
25,24,24
24,24,24
24,24,24
24,24,25
24,25,22
25,22,21
22,21,20
21,20,22
20,22,22
22,22,22
22,22,21
22,21,22
21,22,24
22,24,23
24,23,23
23,23,23
23,23,24
23,24,23
24,23,22
23,22,23
22,23,22
23,22,23
22,23,23
23,23,22
23,22,22
22,22,21
22,21,22
21,22,23
22,23,22
23,22,23
22,23,22
23,22,22
22,22,23
22,23,23
23,23,22
23,22,22
22,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,23
22,23,23
23,23,22
23,22,22
22,22,22
22,22,22
22,22,22
22,22,23
22,23,23
23,23,23
23,23,23
23,23,23
23,23,23
23,23,23
23,23,21
23,21,22
21,22,23
22,23,23
23,23,22
23,22,22
22,22,22
22,22,23
22,23,22
23,22,22
22,22,21
22,21,23
21,23,22
23,22,22
22,22,22
22,22,21
22,21,23
21,23,22
23,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,21
21,21,20
21,20,21
20,21,21
21,21,21
21,21,21
21,21,21
21,21,22
21,22,21
22,21,23
21,23,22
23,22,22
22,22,23
22,23,22
23,22,23
22,23,23
23,23,22
23,22,22
22,22,22
22,22,22
22,22,23
22,23,23
23,23,23
23,23,22
23,22,22
22,22,22
22,22,22
22,22,22
22,22,23
22,23,22
23,22,22
22,22,19
22,19,19
19,19,21
19,21,21
21,21,20
21,20,22
20,22,22
22,22,20
22,20,21
20,21,22
21,22,21
22,21,22
21,22,22
22,22,21
22,21,21
21,21,22
21,22,22
22,22,22
22,22,21
22,21,20
21,20,20
20,20,21
20,21,20
21,20,21
20,21,20
21,20,19
20,19,20
19,20,21
20,21,19
21,19,19
19,19,17
19,17,18
17,18,15
18,15,17
15,17,19
17,19,17
19,17,15
17,15,15
15,15,14
15,14,13
14,13,15
13,15,14
15,14,11
14,11,11
11,11,10
11,10,15
10,15,18
15,18,17
18,17,16
17,16,19
16,19,19
19,19,20
19,20,19
20,19,19
19,19,19
19,19,18
19,18,17
18,17,15
17,15,13
15,13,14
13,14,19
14,19,21
19,21,18
21,18,18
18,18,17
18,17,14
17,14,12
14,12,12
12,12,10
12,10,11
10,11,12
11,12,15
12,15,19
15,19,18
19,18,18
18,18,19
18,19,18
19,18,17
18,17,16
17,16,16
16,16,14
16,14,13
14,13,12
13,12,9
12,9,8
9,8,8
8,8,10
8,10,12
10,12,13
12,13,13
13,13,14
13,14,13
14,13,14
13,14,13
14,13,16
13,16,17
16,17,15
17,15,17
15,17,20
17,20,18
20,18,18
18,18,19
18,19,19
19,19,19
19,19,18
19,18,16
18,16,16
16,16,16
16,16,15
16,15,16
15,16,17
16,17,18
17,18,17
18,17,16
17,16,14
16,14,14
14,14,14
14,14,15
14,15,14
15,14,13
14,13,13
13,13,12
13,12,13
12,13,12
13,12,13
12,13,14
13,14,13
14,13,11
13,11,10
11,10,12
10,12,11
12,11,11
11,11,10
11,10,9
10,9,9
9,9,10
9,10,12
10,12,13
12,13,13
13,13,15
13,15,15
15,15,16
15,16,17
16,17,16
17,16,12
16,12,14
12,14,15
14,15,15
15,15,15
15,15,16
15,16,16
16,16,15
16,15,14
15,14,15
14,15,15
15,15,15
15,15,15
15,15,15
15,15,15
15,15,15
15,15,18
15,18,16
18,16,15
16,15,17
15,17,17
17,17,17
17,17,16
17,16,17
16,17,18
17,18,20
18,20,17
20,17,18
17,18,18
18,18,18
18,18,19
18,19,19
19,19,16
19,16,17
16,17,17
17,17,18
17,18,18
18,18,14
18,14,17
14,17,18
17,18,19
18,19,20
19,20,20
20,20,19
20,19,19
19,19,20
19,20,20
20,20,22
20,22,22
22,22,21
22,21,20
21,20,20
20,20,17
20,17,19
17,19,18
19,18,20
18,20,21
20,21,21
21,21,19
21,19,20
19,20,19
20,19,17
19,17,20
17,20,22
20,22,23
22,23,19
23,19,22
19,22,20
22,20,20
20,20,21
20,21,22
21,22,23
22,23,23
23,23,23
23,23,24
23,24,22
24,22,23
22,23,22
23,22,23
22,23,23
23,23,24
23,24,23
24,23,22
23,22,23
22,23,23
23,23,21
23,21,23
21,23,23
23,23,23
23,23,23
23,23,23
23,23,24
23,24,24
24,24,24
24,24,23
24,23,23
23,23,24
23,24,23
24,23,22
23,22,21
22,21,21
21,21,22
21,22,22
22,22,22
22,22,22
22,22,21
22,21,23
21,23,23
23,23,23
23,23,23
23,23,21
23,21,21
21,21,21
21,21,20
21,20,22
20,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,21
21,21,22
21,22,23
22,23,22
23,22,22
22,22,22
22,22,22
22,22,23
22,23,24
23,24,23
24,23,23
23,23,22
23,22,23
22,23,23
23,23,22
23,22,22
22,22,22
22,22,23
22,23,23
23,23,22
23,22,22
22,22,20
22,20,22
20,22,21
22,21,21
21,21,21
21,21,23
21,23,23
23,23,21
23,21,20
21,20,22
20,22,22
22,22,22
22,22,22
22,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,21
21,21,22
21,22,20
22,20,21
20,21,20
21,20,21
20,21,21
21,21,21
21,21,22
21,22,21
22,21,21
21,21,21
21,21,22
21,22,21
22,21,19
21,19,21
19,21,20
21,20,21
20,21,20
21,20,21
20,21,21
21,21,22
21,22,21
22,21,22
21,22,21
22,21,21
21,21,21
21,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,22
21,22,22
22,22,22
22,22,21
22,21,21
21,21,21
21,21,21
21,21,20
21,20,21
20,21,22
21,22,22
22,22,22
22,22,22
22,22,21
22,21,21
21,21,21
21,21,21
21,21,22
21,22,21
22,21,21
21,21,22
21,22,21
22,21,21
21,21,21
21,21,22
21,22,21
22,21,23
21,23,22
23,22,20
22,20,20
20,20,21
20,21,21
21,21,20
21,20,19
20,19,18
19,18,20
18,20,19
20,19,19
19,19,19
19,19,17
19,17,17
17,17,16
17,16,16
16,16,17
16,17,17
17,17,16
17,16,15
16,15,15
15,15,14
15,14,16
14,16,17
16,17,19
17,19,19
19,19,21
19,21,20
21,20,16
20,16,13
16,13,12
13,12,11
12,11,12
11,12,16
12,16,20
16,20,21
20,21,21
21,21,23
21,23,21
23,21,22
21,22,21
22,21,22
21,22,22
22,22,20
22,20,21
20,21,19
21,19,17
19,17,16
17,16,14
16,14,12
14,12,17
12,17,17
17,17,16
17,16,19
16,19,18
19,18,16
18,16,15
16,15,16
15,16,14
16,14,16
14,16,15
16,15,15
15,15,14
15,14,14
14,14,16
14,16,15
16,15,17
15,17,16
17,16,13
16,13,12
13,12,11
12,11,11
11,11,12
11,12,13
12,13,12
13,12,13
12,13,13
13,13,13
13,13,15
13,15,12
15,12,13
12,13,13
13,13,16
13,16,15
16,15,14
15,14,14
14,14,14
14,14,15
14,15,14
15,14,17
14,17,12
17,12,12
12,12,11
12,11,12
11,12,14
12,14,13
14,13,12
13,12,15
12,15,13
15,13,12
13,12,12
12,12,11
12,11,13
11,13,15
13,15,10
15,10,9
10,9,9
9,9,10
9,10,9
10,9,9
9,9,9
9,9,10
9,10,10
10,10,11
10,11,10
11,10,13
10,13,10
13,10,11
10,11,13
11,13,15
13,15,12
15,12,12
12,12,12
12,12,12
12,12,13
12,13,13
13,13,12
13,12,12
12,12,14
12,14,13
14,13,15
13,15,13
15,13,12
13,12,13
12,13,15
13,15,16
15,16,15
16,15,15
15,15,16
15,16,14
16,14,14
14,14,15
14,15,16
15,16,16
16,16,16
16,16,16
16,16,17
16,17,18
17,18,18
18,18,19
18,19,18
19,18,16
18,16,16
16,16,15
16,15,15
15,15,16
15,16,17
16,17,17
17,17,19
17,19,22
19,22,21
22,21,20
21,20,18
20,18,22
18,22,23
22,23,22
23,22,21
22,21,21
21,21,20
21,20,18
20,18,16
18,16,15
