0,1,2
12,13,14
13,14,18
14,18,19
18,19,17
19,17,17
17,17,14
17,14,14
14,14,12
14,12,12
12,12,14
12,14,16
14,16,17
16,17,18
17,18,16
18,16,13
16,13,15
13,15,14
15,14,15
14,15,14
15,14,16
14,16,16
16,16,16
16,16,15
16,15,16
15,16,16
16,16,15
16,15,15
15,15,15
15,15,15
15,15,14
15,14,16
14,16,17
16,17,18
17,18,19
18,19,19
19,19,19
19,19,19
19,19,21
19,21,22
21,22,19
22,19,17
19,17,19
17,19,19
19,19,21
19,21,20
21,20,20
20,20,20
20,20,20
20,20,18
20,18,20
